emb_lat,emb_long,desemb_lat,desemb_long
-8.0185275,-34.9446329,-8.0311946,-34.9418764
-8.0185275,-34.9446329,-8.0151785,-34.9494565
-8.0185275,-34.9446329,-8.0158549,-34.9484229
-8.0185275,-34.9446329,-8.0182171,-34.9508347
-8.0185275,-34.9446329,-8.0158549,-34.9484229
-8.0185275,-34.9446329,-8.0158549,-34.9484229
-8.0185275,-34.9446329,-8.0158549,-34.9484229
-8.0182171,-34.9508347,-8.0217105,-34.9415318
-8.0182171,-34.9508347,-8.0182171,-34.9508347
-8.0151785,-34.9494565,-8.0205128,-34.9539354
-8.0151785,-34.9494565,-8.0158549,-34.9484229
-8.0205128,-34.9539354,-8.0205237,-34.9418764
-8.0205128,-34.9539354,-8.019127,-34.9540231
-8.0205128,-34.9539354,-8.019127,-34.9540231
-8.0158549,-34.9484229,-8.0158549,-34.9484229
